Sender,Subject,Date,Snippet,Message_body
TechGig Latest News <technews@techgig.com>,"Indian Techies are Getting Express Entry into Canada | Job Alert: Tech Mahindra to hire 4,000 freshers",2018-08-27,"App Avaliable on Daily Newsletter Monday, 27th Aug 2018 Indian Techies are Getting Express Entry into Canada TechGig Exclusive Job Alert: Tech Mahindra to hire 4000 freshers TechGig Editor H-1B: top US",
LinkedIn <messages-noreply@linkedin.com>,"Ayush, you have a new suggested connection to review",2018-08-27,"It&#39;s not what you know, it&#39;s who you know LinkedIn Ayush Agarwal Do you know poonam shekhawat? You and poonam have 1 mutual connection in common. Yes, connect More people you may know Shubham","[<p>Do you know poonam shekhawat?
You and poonam have 1 mutual connection in common.

View profile: https://www.linkedin.com/comm/in/poonam-shekhawat-492623149?midToken=AQFC-HsrOXM_hg&amp;trk=eml-email_pymk_01-pymk-6-pymk_hero_prof_name&amp;trkEmail=eml-email_pymk_01-pymk-6-pymk_hero_prof_name-null-9y31e2%7Ejlc5paoz%7Eug-null-neptune%2Fprofile%7Evanity%2Eview&amp;lipi=urn%3Ali%3Apage%3Aemail_email_pymk_01%3BuBONKJZFR1OwJebsz6MEgg%3D%3D

Yes, connect: https://www.linkedin.com/comm/mynetwork/send-invite/poonam-shekhawat-492623149/?midToken=AQFC-HsrOXM_hg&amp;trk=eml-email_pymk_01-pymk-7-pymk_hero_connect&amp;trkEmail=eml-email_pymk_01-pymk-7-pymk_hero_connect-null-9y31e2%7Ejlc5paoz%7Eug-null-neptune%2Fmynetwork%2Einvite%7Esend&amp;lipi=urn%3Ali%3Apage%3Aemail_email_pymk_01%3BuBONKJZFR1OwJebsz6MEgg%3D%3D&amp;_sig=0XbFXvahxrtUo1

More people you may know

Shubham Hedaoo
Student at Dr. D. Y. Patil Institute of Engineering &amp; Technology, Pune
https://www.linkedin.com/comm/mynetwork/send-invite/shubham-hedaoo-134949147/?midToken=AQFC-HsrOXM_hg&amp;trk=eml-email_pymk_01-pymk-13-connect_universal&amp;trkEmail=eml-email_pymk_01-pymk-13-connect_universal-null-9y31e2%7Ejlc5paoz%7Eug-null-neptune%2Fmynetwork%2Einvite%7Esend&amp;lipi=urn%3Ali%3Apage%3Aemail_email_pymk_01%3BuBONKJZFR1OwJebsz6MEgg%3D%3D&amp;_sig=05tAtWwIFrtUo1


Harshvardhan Bhosale
Project Trainee at L&amp;T Infotech
https://www.linkedin.com/comm/mynetwork/send-invite/harshvardhan3111/?midToken=AQFC-HsrOXM_hg&amp;trk=eml-email_pymk_01-pymk-14-connect_universal&amp;trkEmail=eml-email_pymk_01-pymk-14-connect_universal-null-9y31e2%7Ejlc5paoz%7Eug-null-neptune%2Fmynetwork%2Einvite%7Esend&amp;lipi=urn%3Ali%3Apage%3Aemail_email_pymk_01%3BuBONKJZFR1OwJebsz6MEgg%3D%3D&amp;_sig=2pENSdNv9rtUo1


See more people you might know: See more people you might know: https://www.linkedin.com/comm/mynetwork/add-connections/?midToken=AQFC-HsrOXM_hg&amp;trk=eml-email_pymk_01-pymk-1-see_more&amp;trkEmail=eml-email_pymk_01-pymk-1-see_more-null-9y31e2%7Ejlc5paoz%7Eug-null-neptune%2Fmynetwork%2Eadd%7Econnections&amp;lipi=urn%3Ali%3Apage%3Aemail_email_pymk_01%3BuBONKJZFR1OwJebsz6MEgg%3D%3D



.....................................

Unsubscribe: https://www.linkedin.com/e/v2?e=9y31e2-jlc5paoz-ug&amp;t=lun&amp;midToken=AQFC-HsrOXM_hg&amp;ek=email_pymk_01&amp;li=54&amp;m=unsub&amp;ts=unsub&amp;loid=AQFhkwovqRerUQAAAWV7hkmcO2-sCGhAP2bgQvYxEXOCprc-OFf61kuPyPTGDinjtUbExJVhgdmMG4h-8d-2HegJMliLM76GjIeLXf-GZIHNirsq&amp;eid=9y31e2-jlc5paoz-ug

Help: https://www.linkedin.com/e/v2?e=9y31e2-jlc5paoz-ug&amp;lipi=urn%3Ali%3Apage%3Aemail_email_pymk_01%3BuBONKJZFR1OwJebsz6MEgg%3D%3D&amp;a=customerServiceUrl&amp;midToken=AQFC-HsrOXM_hg&amp;ek=email_pymk_01&amp;li=53&amp;m=footer&amp;ts=help&amp;articleId=67


You are receiving LinkedIn notification emails.

This email was intended for Ayush Agarwal (Student at Dr. D. Y. Patil Institute of Engineering &amp; Technology, Pune).
Learn why we included this: https://www.linkedin.com/e/v2?e=9y31e2-jlc5paoz-ug&amp;lipi=urn%3Ali%3Apage%3Aemail_email_pymk_01%3BuBONKJZFR1OwJebsz6MEgg%3D%3D&amp;a=customerServiceUrl&amp;midToken=AQFC-HsrOXM_hg&amp;ek=email_pymk_01&amp;articleId=4788

Â© 2018 LinkedIn Ireland Unlimited Company, Wilton Plaza, Wilton Place, Dublin 2. LinkedIn is a registered business name of LinkedIn Ireland Unlimited Company. LinkedIn and the LinkedIn logo are registered trademarks of LinkedIn.</p>]"
Anik Singal <anik@inboxblueprint.com>,Tony Robbins Says..,2018-08-27,"Hey, If you&#39;re a fan of Tony Robbins, there&#39;s a saying you would have heard him say a lot... &quot;Success leaves clues&quot; Watch this video to get a &quot;Success Clue&quot; Tony then goes","[<p>Hey,

If you're a fan of Tony Robbins, there's a saying you would have heard
him say a lot...

_""Success leaves clues""_

Watch this video to get a ""Success Clue""
[https://track.slsv2.com/track/click/F6T14rLJmc/fee801ecfba08d39cd8ebed9fdcbe7e9/b6576b6d9eee96c4c1b51d3e34b53dfd/inbox16

Tony then goes on to explain that if you want the shortcut to success,
study people that have already got the results that you're hoping to
get.

But here's the part that most people miss...

Let's say the results you're trying to emulate are business results...

Don't JUST copy what they do in business!

See, what makes a person successful at what they do is not just the
obvious stuff they do... it's the whole package!

With that in mind, I made you this quick video that runs you through
MY morning ritual. Here's everything I do when I wake up in the
morning.

Watch The 9 Things I do Every Morning To Get My Day Off To a Flying
Start [https://track.slsv2.com/track/click/F6T14rLJmc/fee801ecfba08d39cd8ebed9fdcbe7e9/b6576b6d9eee96c4c1b51d3e34b53dfd/inbox16

Enjoy,

Anik Singal

CEO/Founder - Lurn, Inc.

Best-Selling Author - Circle of Profit

New Book - Just Released - eSCAPE
[https://track.slsv2.com/track/click/F6T14rLJmc/fee801ecfba08d39cd8ebed9fdcbe7e9/f87c38013ff5ebd7d81757b230495ed1/inbox16

_P.S. - Remember, when life pushes you, stand straight, smile &amp; push
it the heck back!_

 

Login [https://track.slsv2.com/track/click/F6T14rLJmc/fee801ecfba08d39cd8ebed9fdcbe7e9/415c35d058c84d8b71c1d66451241e8f/inbox16 Us
[https://track.slsv2.com/track/click/F6T14rLJmc/fee801ecfba08d39cd8ebed9fdcbe7e9/286d34b2c5714c5a95fa5ab927022d68/inbox16 Courses
[https://track.slsv2.com/track/click/F6T14rLJmc/fee801ecfba08d39cd8ebed9fdcbe7e9/c3f78e772f2747ce86a26a490a0af72e/inbox16 Us
[https://track.slsv2.com/track/click/F6T14rLJmc/fee801ecfba08d39cd8ebed9fdcbe7e9/4874e04c76606f7745045cc833604a3d/inbox16

Copyright (c) 2018 - Lurn, Inc.



Lurn Inc., 12410 Milestone Center Drive
Suite 600, Germantown, MD, United States 20876

To update or remove your contact information: 
[https://track.slsv2.com/uml/F6T14rLJmc/fee801ecfba08d39cd8ebed9fdcbe7e9/dfdab6608e748a205efca2aaf1a73550/inbox16]


Powered by Sendlane.com [https://track.slsv2.com/tc/poweredby/683862609]
</p>]"
Credit ScoreCheck <contact@enlimbo.com>,Your updated CreditScore. Check now for FREE.,2018-08-27,Disclaimer: You have received this mailer from Enlimbo on behalf of CreditMantri because you indicated that you would like to receive promotional e-mailers from Enlimbo. Hence even if you have,
Twitter <info@twitter.com>,"Shashi Tharoor shared ""People’s own country""",2018-08-27,What&#39;s happening Shashi Tharoor shared People&#39;s own country Livemint History has tested the resilience of the Malayali people time and again. Be it natural disasters or social revolution...,"[<p>@ayushba47988243, see what's happening in the world



  Opt-out: https://twitter.com/i/u?t=1&amp;cn=ZmxleGlibGVfcmVjc18y&amp;sig=e84fe3731fe03f3a497cde6318c607fc211ac4dc&amp;iid=743afcbec1c4413badcce2fd29d761ed&amp;uid=746639119&amp;nid=244+26&amp;usbid=9</p>]"
LinkedIn <messages-noreply@linkedin.com>,"Ayush, people are looking at your LinkedIn profile",2018-08-27,See how well your profile stands out from the crowd. LinkedIn The power of your profile See how well your profile stands out from the crowd. 1 View A profile view from the right person is a step closer,"[<p>Ayush Agarwal, see how well your profile stands out from the crowd.

You have 1 new profile view. A profile view from the right person is a step closer to your next career move.
Who's looking:https://www.linkedin.com/comm/me/profile-views/?trk=eml-prof-pid-wvmp&amp;midToken=AQFC-HsrOXM_hg&amp;trkEmail=eml-b2_professional_identity_digest_02-null-11-null-null-9y31e2%7Ejlbyocgr%7Ew0-null-neptune%2Fme%2Eprofile%7Eviews&amp;lipi=urn%3Ali%3Apage%3Aemail_b2_professional_identity_digest_02%3BRK8bbyoERueL6iZw5zFshQ%3D%3D




Â© 2018 LinkedIn Ireland Unlimited Company. LinkedIn, the LinkedIn logo, and InMail are registered trademarks of LinkedIn Corporation in the United States and/or other countries. All rights reserved.

You are receiving Professional Identity Digest emails. Unsubscribe here: https://www.linkedin.com/e/v2?e=9y31e2-jlbyocgr-w0&amp;t=lun&amp;midToken=AQFC-HsrOXM_hg&amp;tracking=eml-prof-pid-unsub&amp;ek=b2_professional_identity_digest_02&amp;loid=AQEXOn5tVx3nxgAAAWV6hzLF_oQLZmNWYh7d5lB-WZHBWHDGAJ4tVPon5cNr3_yNVHRcoGWIN1qnYLZyil-t4NemgiD8yy3ksxxVJykrwDwIjRG-nw&amp;eid=9y31e2-jlbyocgr-w0



This email was intended for Ayush Agarwal (Student at Dr. D. Y. Patil Institute of Engineering &amp; Technology, Pune). 
Learn why we included this: https://www.linkedin.com/e/v2?e=9y31e2-jlbyocgr-w0&amp;lipi=urn%3Ali%3Apage%3Aemail_b2_professional_identity_digest_02%3BRK8bbyoERueL6iZw5zFshQ%3D%3D&amp;a=customerServiceUrl&amp;midToken=AQFC-HsrOXM_hg&amp;ek=b2_professional_identity_digest_02&amp;articleId=4788

If you need assistance or have questions, please contact LinkedIn Customer Service: https://www.linkedin.com/e/v2?e=9y31e2-jlbyocgr-w0&amp;lipi=urn%3Ali%3Apage%3Aemail_b2_professional_identity_digest_02%3BRK8bbyoERueL6iZw5zFshQ%3D%3D&amp;a=customerServiceUrl&amp;midToken=AQFC-HsrOXM_hg&amp;ek=b2_professional_identity_digest_02

LinkedIn is a registered business name of LinkedIn Ireland Unlimited Company.
Registered in Ireland as a private unlimited company, Company Number 477441
Registered Office: Wilton Plaza, Wilton Place, Dublin 2, Ireland</p>]"
TechGig Latest News <technews@techgig.com>,H1B Visa: American companies reluctant to hire foreign talent | Top 6 Languages Used by Developers,2018-08-27,"Daily Newsletter Monday, 27th Aug 2018 H1B Visa: American companies reluctant to hire foreign talent TechGig Exclusive Top 6 Languages Used by Developers TechGig Editor Good Coders Copy but Great",
Twitter <info@twitter.com>,Rohini Singh Tweeted: My little niece is the cutest little diva in t...,2018-08-27,"Reuben Abraham, You can&#39;t stop me lovin&#39; myself, beena sarwar, Vijay Taparia, Lloyd Mathias also Tweeted. Your Highlights avatar Rohini Singh @rohini_sgh My little niece is the cutest little","[<p>Hey ayush bansal,
  	      @rohini_sgh
My little niece is the cutest little diva in town! Just look at that walk!;) https://t.co/R9IlrVnDNI
https://twitter.com/rohini_sgh/status/1033655116694532096

  	      @nebuer42
On top of their incredible work on the ground. Bravo indeed. https://t.co/evXqgyI4Vo
https://twitter.com/nebuer42/status/1033626482717810688

  	      @Kookiejaar
When someone asks why we need feminism, I'm gonna show them the comments under this post. https://t.co/1yo1EDzRdq
https://twitter.com/Kookiejaar/status/1033633816928120833

  	      @beenasarwar
This is quite lovely. Aman Ki Asha â€“ New music video: Two nations, two anthems and one dream https://t.co/sIK8XWZCZZ https://t.co/8h8tlPp05T
https://twitter.com/beenasarwar/status/1033867578169544704

  	      @cavjtaparia11
From most of the value Investor we learn to become long term Investor.I am very much determined to become long term Investor &amp; thoroughly enjoyed my journey till end of 2017..but missed an imp msg from an astute Investor @VijayKedia1 &amp; my fav value investor...loan repayment done https://t.co/auj0fLB0L2
https://twitter.com/cavjtaparia11/status/1033791246572118018

  	      @LloydMathias
What a fab episode with @BishanBedi &amp; @Imangadbedi   by @sardesairajdeep Thoroughly enjoyed it! https://t.co/5qnGsS26PY
https://twitter.com/LloydMathias/status/1033782993435803653






  Opt-out: https://twitter.com/i/u?t=1&amp;cn=ZmxleGlibGVfcmVjc18y&amp;sig=d91d4f7c3fe14a8955208b74a7b5a4c5c8063351&amp;iid=83bb99e9bcfd4b7ba3932b77b814bd1a&amp;uid=746639119&amp;nid=244+26&amp;usbid=6</p>]"
"""Hrishikesh Chalmal (via LinkedIn)"" <messages-noreply@linkedin.com>",Hrishikesh Chalmal's invitation is waiting for your response,2018-08-27,More opportunities to grow your network LinkedIn Ayush Agarwal Hrishikesh Chalmal invited you to connect 9 days ago. Accept View Invitation Hrishikesh Chalmal -- View profile View profile Unsubscribe |,"[<p>Hi Ayush,



Accept: https://www.linkedin.com/comm/mynetwork/invite-accept/invitationId/6426690810867220503/sharedKey/TV7LwCLD/?trk=eml-comm_invm-b-accept-newinvite&amp;midToken=AQFC-HsrOXM_hg&amp;trkEmail=eml-email_m2m_invite_reminder_02-null-1-null-null-9y31e2%7Ejlbnxoiv%7E8r-null-neptune%2Fmynetwork%2Einvite%7Eaccept&amp;lipi=urn%3Ali%3Apage%3Aemail_email_m2m_invite_reminder_02%3Bkrd0g8FGQRm89yPNP3NWuw%3D%3D

View Invitation: https://www.linkedin.com/comm/mynetwork/?midToken=AQFC-HsrOXM_hg&amp;trk=eml-email_m2m_invite_reminder_02-hero-0-view%7Einvite&amp;trkEmail=eml-email_m2m_invite_reminder_02-hero-0-view%7Einvite-null-9y31e2%7Ejlbnxoiv%7E8r-null-neptune%2Fmynetwork&amp;lipi=urn%3Ali%3Apage%3Aemail_email_m2m_invite_reminder_02%3Bkrd0g8FGQRm89yPNP3NWuw%3D%3D

View Hrishikesh Chalmal's profile: https://www.linkedin.com/comm/in/hrishikesh-chalmal-b20886135?midToken=AQFC-HsrOXM_hg&amp;trk=eml-email_m2m_invite_reminder_02-hero-4-profile_text&amp;trkEmail=eml-email_m2m_invite_reminder_02-hero-4-profile_text-null-9y31e2%7Ejlbnxoiv%7E8r-null-neptune%2Fprofile%7Evanity%2Eview&amp;lipi=urn%3Ali%3Apage%3Aemail_email_m2m_invite_reminder_02%3Bkrd0g8FGQRm89yPNP3NWuw%3D%3D

</p>, <div itemscope="""" itemtype=""http://schema.org/EmailMessage""><div itemprop=""potentialAction"" itemscope="""" itemtype=""http://schema.org/ViewAction""><link href=""https://www.linkedin.com/comm/mynetwork/invite-accept/invitationId/6426690810867220503/sharedKey/TV7LwCLD/?midToken=AQFC-HsrOXM_hg&amp;trk=eml-email_m2m_invite_reminder_02-null-5-accept%7Einvite%7Egmailquickaction&amp;trkEmail=eml-email_m2m_invite_reminder_02-null-5-accept%7Einvite%7Egmailquickaction-null-9y31e2%7Ejlbnxoiv%7E8r-null-neptune%2Fmynetwork%2Einvite%7Eaccept&amp;lipi=urn%3Ali%3Apage%3Aemail_email_m2m_invite_reminder_02%3Bkrd0g8FGQRm89yPNP3NWuw%3D%3D"" itemprop=""target url""/><meta content=""Accept Invitation"" itemprop=""name""/></div><meta content=""Accept Ayush's invitation to connect."" itemprop=""description""/><div itemprop=""publisher"" itemscope="""" itemtype=""http://schema.org/Organization""><meta content=""LinkedIn"" itemprop=""name""/><link href=""https://www.linkedin.com"" itemprop=""url""/></div></div>, <div itemprop=""potentialAction"" itemscope="""" itemtype=""http://schema.org/ViewAction""><link href=""https://www.linkedin.com/comm/mynetwork/invite-accept/invitationId/6426690810867220503/sharedKey/TV7LwCLD/?midToken=AQFC-HsrOXM_hg&amp;trk=eml-email_m2m_invite_reminder_02-null-5-accept%7Einvite%7Egmailquickaction&amp;trkEmail=eml-email_m2m_invite_reminder_02-null-5-accept%7Einvite%7Egmailquickaction-null-9y31e2%7Ejlbnxoiv%7E8r-null-neptune%2Fmynetwork%2Einvite%7Eaccept&amp;lipi=urn%3Ali%3Apage%3Aemail_email_m2m_invite_reminder_02%3Bkrd0g8FGQRm89yPNP3NWuw%3D%3D"" itemprop=""target url""/><meta content=""Accept Invitation"" itemprop=""name""/></div>, <link href=""https://www.linkedin.com/comm/mynetwork/invite-accept/invitationId/6426690810867220503/sharedKey/TV7LwCLD/?midToken=AQFC-HsrOXM_hg&amp;trk=eml-email_m2m_invite_reminder_02-null-5-accept%7Einvite%7Egmailquickaction&amp;trkEmail=eml-email_m2m_invite_reminder_02-null-5-accept%7Einvite%7Egmailquickaction-null-9y31e2%7Ejlbnxoiv%7E8r-null-neptune%2Fmynetwork%2Einvite%7Eaccept&amp;lipi=urn%3Ali%3Apage%3Aemail_email_m2m_invite_reminder_02%3Bkrd0g8FGQRm89yPNP3NWuw%3D%3D"" itemprop=""target url""/>, <meta content=""Accept Invitation"" itemprop=""name""/>, <meta content=""Accept Ayush's invitation to connect."" itemprop=""description""/>, <div itemprop=""publisher"" itemscope="""" itemtype=""http://schema.org/Organization""><meta content=""LinkedIn"" itemprop=""name""/><link href=""https://www.linkedin.com"" itemprop=""url""/></div>, <meta content=""LinkedIn"" itemprop=""name""/>, <link href=""https://www.linkedin.com"" itemprop=""url""/>]"
Facebook <notification+zrdoddzf6lr1@facebookmail.com>,"🎂 Rohit Mane, Sakshii S Agarwal and 3 others have birthdays today",2018-08-26,"Help Rohit Mane, Sakshii S Agarwal and 3 others celebrate their birthdays Monday, August 27th Rohit Mane Write on his timeline Sakshii S Agarwal Write on her timeline Simran Raut Write on her timeline","[<p>========================================
Go to Facebook
https://www.facebook.com/n/?index.php&amp;aref=1535338304531984&amp;medium=email&amp;mid=5746184aa6b3eG5af3e48a9705G57461ce406e10G1a&amp;bcode=2.1535338304.Abz-YQigPz1U69FpdqM&amp;n_m=ayushbansal323%40gmail.com&amp;lloc=goto_fb


Plan an Event
https://www.facebook.com/n/?events%2F&amp;aref=1535338304531984&amp;medium=email&amp;mid=5746184aa6b3eG5af3e48a9705G57461ce406e10G1a&amp;bcode=2.1535338304.Abz-YQigPz1U69FpdqM&amp;n_m=ayushbansal323%40gmail.com&amp;lloc=plan_event

========================================

Hi Ayush,

Help Rohit Mane, Sakshii S Agarwal and 3 others celebrate their birthdays

[https://www.facebook.com/n/?rohit.mane.566148&amp;composeropen=1&amp;aref=1535338304531984&amp;medium=email&amp;mid=5746184aa6b3eG5af3e48a9705G57461ce406e10G1a&amp;bcode=2.1535338304.Abz-YQigPz1U69FpdqM&amp;n_m=ayushbansal323%40gmail.com&amp;lloc=row] 

Rohit Mane[https://www.facebook.com/n/?rohit.mane.566148&amp;composeropen=1&amp;aref=1535338304531984&amp;medium=email&amp;mid=5746184aa6b3eG5af3e48a9705G57461ce406e10G1a&amp;bcode=2.1535338304.Abz-YQigPz1U69FpdqM&amp;n_m=ayushbansal323%40gmail.com&amp;lloc=row] 

Write on his timeline
https://www.facebook.com/n/?rohit.mane.566148&amp;composeropen=1&amp;aref=1535338304531984&amp;medium=email&amp;mid=5746184aa6b3eG5af3e48a9705G57461ce406e10G1a&amp;bcode=2.1535338304.Abz-YQigPz1U69FpdqM&amp;n_m=ayushbansal323%40gmail.com&amp;lloc=row


[https://www.facebook.com/n/?micku.agarwal.5&amp;composeropen=1&amp;aref=1535338304531984&amp;medium=email&amp;mid=5746184aa6b3eG5af3e48a9705G57461ce406e10G1a&amp;bcode=2.1535338304.Abz-YQigPz1U69FpdqM&amp;n_m=ayushbansal323%40gmail.com&amp;lloc=row] 

Sakshii S Agarwal[https://www.facebook.com/n/?micku.agarwal.5&amp;composeropen=1&amp;aref=1535338304531984&amp;medium=email&amp;mid=5746184aa6b3eG5af3e48a9705G57461ce406e10G1a&amp;bcode=2.1535338304.Abz-YQigPz1U69FpdqM&amp;n_m=ayushbansal323%40gmail.com&amp;lloc=row] 

Write on her timeline
https://www.facebook.com/n/?micku.agarwal.5&amp;composeropen=1&amp;aref=1535338304531984&amp;medium=email&amp;mid=5746184aa6b3eG5af3e48a9705G57461ce406e10G1a&amp;bcode=2.1535338304.Abz-YQigPz1U69FpdqM&amp;n_m=ayushbansal323%40gmail.com&amp;lloc=row


[https://www.facebook.com/n/?simran.raut27&amp;composeropen=1&amp;aref=1535338304531984&amp;medium=email&amp;mid=5746184aa6b3eG5af3e48a9705G57461ce406e10G1a&amp;bcode=2.1535338304.Abz-YQigPz1U69FpdqM&amp;n_m=ayushbansal323%40gmail.com&amp;lloc=row] 

Simran Raut[https://www.facebook.com/n/?simran.raut27&amp;composeropen=1&amp;aref=1535338304531984&amp;medium=email&amp;mid=5746184aa6b3eG5af3e48a9705G57461ce406e10G1a&amp;bcode=2.1535338304.Abz-YQigPz1U69FpdqM&amp;n_m=ayushbansal323%40gmail.com&amp;lloc=row] 

Write on her timeline
https://www.facebook.com/n/?simran.raut27&amp;composeropen=1&amp;aref=1535338304531984&amp;medium=email&amp;mid=5746184aa6b3eG5af3e48a9705G57461ce406e10G1a&amp;bcode=2.1535338304.Abz-YQigPz1U69FpdqM&amp;n_m=ayushbansal323%40gmail.com&amp;lloc=row


[https://www.facebook.com/n/?rohit.mane.925059&amp;composeropen=1&amp;aref=1535338304531984&amp;medium=email&amp;mid=5746184aa6b3eG5af3e48a9705G57461ce406e10G1a&amp;bcode=2.1535338304.Abz-YQigPz1U69FpdqM&amp;n_m=ayushbansal323%40gmail.com&amp;lloc=row] 

Rohit Mane[https://www.facebook.com/n/?rohit.mane.925059&amp;composeropen=1&amp;aref=1535338304531984&amp;medium=email&amp;mid=5746184aa6b3eG5af3e48a9705G57461ce406e10G1a&amp;bcode=2.1535338304.Abz-YQigPz1U69FpdqM&amp;n_m=ayushbansal323%40gmail.com&amp;lloc=row] 

Write on his timeline
https://www.facebook.com/n/?rohit.mane.925059&amp;composeropen=1&amp;aref=1535338304531984&amp;medium=email&amp;mid=5746184aa6b3eG5af3e48a9705G57461ce406e10G1a&amp;bcode=2.1535338304.Abz-YQigPz1U69FpdqM&amp;n_m=ayushbansal323%40gmail.com&amp;lloc=row


[https://www.facebook.com/n/?mayuresh.kulkarni.1694&amp;composeropen=1&amp;aref=1535338304531984&amp;medium=email&amp;mid=5746184aa6b3eG5af3e48a9705G57461ce406e10G1a&amp;bcode=2.1535338304.Abz-YQigPz1U69FpdqM&amp;n_m=ayushbansal323%40gmail.com&amp;lloc=row] 

Mayuresh Kulkarni[https://www.facebook.com/n/?mayuresh.kulkarni.1694&amp;composeropen=1&amp;aref=1535338304531984&amp;medium=email&amp;mid=5746184aa6b3eG5af3e48a9705G57461ce406e10G1a&amp;bcode=2.1535338304.Abz-YQigPz1U69FpdqM&amp;n_m=ayushbansal323%40gmail.com&amp;lloc=row] 

Write on his timeline
https://www.facebook.com/n/?mayuresh.kulkarni.1694&amp;composeropen=1&amp;aref=1535338304531984&amp;medium=email&amp;mid=5746184aa6b3eG5af3e48a9705G57461ce406e10G1a&amp;bcode=2.1535338304.Abz-YQigPz1U69FpdqM&amp;n_m=ayushbansal323%40gmail.com&amp;lloc=row


Thanks,
The Facebook Team



========================================
This message was sent to ayushbansal323@gmail.com. If you don't want to receive these emails from Facebook in the future, please follow the link below to unsubscribe.
https://www.facebook.com/o.php?k=AS1RnBmmCqcOjyAX&amp;u=100003557840645&amp;mid=5746184aa6b3eG5af3e48a9705G57461ce406e10G1a
Facebook, Inc., Attention: Community Support, 1 Facebook Way, Menlo Park, CA 94025

</p>]"
Placement Quiz <assessment@techgig.com>,[HOT] Test Your Knowledge With Placement Quiz 2018-19,2018-08-27,"Reliance JIO Interview Questions TechGig Practice Platform Dear Ayush Agarwal, When preparing for a job interview, it&#39;s not enough to just read advice you need to put that advice into practice! You",
Anik Singal <anik@inboxblueprint.com>,Hilarious Video Staring the Lurn Staff,2018-08-26,"Hey, I made a really cool video for you. Watch this I think you&#39;ll like it, it&#39;s pretty funny :) ... I&#39;ve got the staff here play acting out a scene in a bar (I even hired the whole bar","[<p>Hey,

I made a really cool video for you. Watch this
[https://track.slsv2.com/track/click/dgbTvnO1XE/360c19682e81f21d55846685c1701179/d331d8ce76c2af8605d2f210d2e3ea54/inbox16

I think you'll like it, it's pretty funny :) ... I've got the staff
here play acting out a scene in a bar _(I even hired the whole bar
just for the video)_. Wait till you see who I've got playing me, I
think you'll get a good laugh [https://track.slsv2.com/track/click/dgbTvnO1XE/360c19682e81f21d55846685c1701179/d331d8ce76c2af8605d2f210d2e3ea54/inbox16

But aside from the humour...

It contains one of the greatest business lessons I ever received
_(from a drunk guy at a bar believe it or not)_

It's a short video, watch it now
[https://track.slsv2.com/track/click/dgbTvnO1XE/360c19682e81f21d55846685c1701179/d331d8ce76c2af8605d2f210d2e3ea54/inbox16

Enjoy,

Anik Singal

CEO/Founder - Lurn, Inc.

Best-Selling Author - Circle of Profit

New Book - Just Released - eSCAPE
[https://track.slsv2.com/track/click/dgbTvnO1XE/360c19682e81f21d55846685c1701179/f87c38013ff5ebd7d81757b230495ed1/inbox16

_P.S. - Remember, when life pushes you, stand straight, smile &amp; push
it the heck back!_

 

Login [https://track.slsv2.com/track/click/dgbTvnO1XE/360c19682e81f21d55846685c1701179/415c35d058c84d8b71c1d66451241e8f/inbox16 Us
[https://track.slsv2.com/track/click/dgbTvnO1XE/360c19682e81f21d55846685c1701179/286d34b2c5714c5a95fa5ab927022d68/inbox16 Courses
[https://track.slsv2.com/track/click/dgbTvnO1XE/360c19682e81f21d55846685c1701179/c3f78e772f2747ce86a26a490a0af72e/inbox16 Us
[https://track.slsv2.com/track/click/dgbTvnO1XE/360c19682e81f21d55846685c1701179/4874e04c76606f7745045cc833604a3d/inbox16

Copyright (c) 2018 - Lurn, Inc.



Lurn Inc., 12410 Milestone Center Drive
Suite 600, Germantown, MD, United States 20876

To update or remove your contact information: 
[https://track.slsv2.com/uml/dgbTvnO1XE/360c19682e81f21d55846685c1701179/16c5a4e8a98949b2a3a306bb3629020f/inbox16]


Powered by Sendlane.com [https://track.slsv2.com/tc/poweredby/825787065]
</p>]"
