Sender,Subject,Date,Snippet,Message_body
Aadhaar PVC Card <info@ecomtrendz.com>,"Plastic Aadhaar cards not valid, UIDAI says people should not print them",2018-02-15,Unique Identification Authority of India (UIDAI) has asked citizens to stay away from vendors or outlets that make plastic Aadhaar card or PVC smart cards as it is unusable. This is due to the,"[<p>Unique Identification Authority of India (UIDAI) has asked citizens to stay away from vendors or outlets that make plastic Aadhaar card or PVC smart cards as it is unusable. This is due to the unauthorised printing of QR codes on the card at these shops which makes the card dysfunctional.The UIDAI in a statement has also warned that using plastic or PVC smart cards can lead to sharing Aadhaar details without consent through deceitful means.""So-called Aadhaar Smart card is totally unnecessary and a waste as during such printing its QR code often becomes dysfunctional. The Aadhaar card or the downloaded Aadhaar card printed on ordinary paper or mAadhaar is perfectly valid for all kind of uses,” said Ajay Bhushan Pandey, CEO, UIDAI.“If a person has a paper Aadhaar card, there is absolutely no need to get his/her Aadhaar card laminated or obtain a plastic Aadhaar card or so called smart Aadhaar card by paying money. There is no concept such as smart or plastic Aadhaar card”, he
added.UIDAI emphasized that Aadhaar letter or its cutaway partition or a downloaded version of Aadhaar on normal paper or mAadhaar are absolutely valid and people should not fall prey to these "" unscrupulous elements"" who print plastic or PVC smart cards and charge anywhere between Rs 50 to Rs 300 for the service.In case a person loses his Aadhaar card, he/she can download his Aadhaar card free of cost from UIDAI website. The print out of the downloaded Aadhaar card, even in black and white form, is as valid as the original Aadhaar letter sent by UIDAI.CEO further advised not to share their Aadhaar number or personal details to any unauthorised agencies for getting it laminated, or printed on plastic card.UIDAI has also informed unauthorised agencies not to collect Aadhaar information from general public for printing of Aadhaar card as collecting such information or unauthorised printing of Aadhaar card or aiding such persons in any manner amounts will be seen as a criminal
offence and the person can be put behind the bars for it.Update

</p>]"
Aditi Deoras <info@eckmarket.in>,Startups are becoming the new Mass Recruiters,2018-02-14,"Dear User, There has never been a better time for startups than today. Everyday 1000+ new startups are getting registered in India alone. While old mass recruiters like TCS/Infosys are reducing their","[<p>Dear User,

There has never been a better time for startups than today. Everyday 1000+ new startups are getting registered in India alone.

While old mass recruiters like TCS/Infosys are reducing their workforce, startups are always hunting for good talent.

Startups recruit on the basis on specific skills. Infact, big organizations like TCS/Infosys/Wipro/Accenture are also moving in this direction.

Below mentioned are the 6 hottest skills demanded by startups you can start learning today!

1. Android App Development: Learn complete Java and Android, and launch your app on play store! Click Here

2. Machine Learning: Learn complete Python and Machine learning, build projects and start your Machine Learning Career - Click Here

3. Blockchain Technology: Learn the most important elements of Blockchain, Bitcoin and Ethereum; Build your very own two decentralised apps (DApps) in Blockchain Ecosystem Click Here

4. Learn, build and fly Drones: India's first comprehensive course on drones taught by a team of experts. Click Here

5. IoT(Internet of Things): Build 6 real life Projects in just one course; Inclusive of Pre-bundled Kit worth Rs. 8000. Click Here

6. Robotics Certification Course: Learn to create robotics projects in 3 months with the Arduino, the world's friendliest electronics prototyping platform! Click HereYou can also use these as your Major/Minor Project plus you will also be getting Certified for the same.

For more courses available: Click Here

Enroll today and get 20% discount: ECK20200IIT

For more information, contact our Program Manager at 9266677335.

Happy learning! :)

Regards,
Aditi Deoras
engineering@eckovation.com
Facebook | Twitter | Instagram

 



You are getting this mail, because you are the user of Eckovation app. Check this mail in View web version, if you are no longer interested Unsubscribe here.

</p>]"
Thyrocare <noreply@laptuinvite.com>,Full Body 60 Tests Package at Rs.800/- only Book Now.,2018-02-14,PREVENTION is Better than CURE! Thyrocare Special OFFERS Avail 60 tests package @ Rs.800 only Guaranteed Lowest Rates ! Affordable Packages Free Sample Collection from Home Online reports Click Here »,
e-Approval <noreply@laptuinvite.com>,Your Card is getting Processed.,2018-02-14,"Hi , Congratulations - your card is about to get processed immediately We are glad to tell you, your credit card application is getting processed. However you need to complete your Credit Card",
Shop Kart Zone <noreply@laptuinvite.com>,Deals Too Good to last. Clearance SALE.!,2018-02-13,If you are unableto viewthis mailer Clickhere To stop receiving these emails please clickhere to unsubscribe.,
Titan E-Store <noreply@laptuinvite.com>,Valentine's Deal Get 20% Off on Skinn Perfumes,2018-02-13,If you are unableto viewthis mailer Clickhere To stop receiving these emails please clickhere to unsubscribe.,
Ark Infotech Spectrum India Private Limited <contact@5taxqjov.helpfulcoder.net>,SAP Pi Consultant [id :029],2018-02-11,Apply Ark Infotech Spectrum India Private Limited SAP Pi Consultant All Jobs by this Recruiter Job Summary Company Name: Ark Infotech Spectrum India Private LimitedLocation: Bengaluru /,
Dream11 <noreply@laptuinvite.com>,Ind vs SA - Win Rs.1 CRORE in Every Match.,2018-02-12,Rs.1 Crore in Winning in Every Match India vs South Africa Play Now &amp; Start Winning Play Now » To stop receiving these emails please click here to unsubscribe.,
Aditi Deoras <info@eckmarket.in>,Why TCS & Infosys have stopped visiting many Campuses?,2018-02-11,Two Reasons: Automation &amp; USA Policy. The situation is only going to get worse as these mass recruiters become lean organizations in future. So what use are college courses which are preparing you,"[<p>Two Reasons: Automation &amp; USA Policy.

The situation is only going to get worse as these mass recruiters become lean organizations in future. 

So what use are college courses which are preparing you for TCS and Infosys? Your career prospects is in crisis and your college administration won't care much. They're content with high fees extracted from you.

Then what do you do? Take destiny in your hands. Learn the skills which startups are demanding these days. These are the skills which are unaffected by automation right now as they require high calibre.

Below mentioned are the 5 hottest skills you can start learning today!

You can also use these as your Major/Minor Project plus you will also be getting Certified for the same.

1. Android App Development: Learn complete Java and Android, and launch your app on play store! Click Here

2. Machine Learning: Learn complete Python and Machine learning, build projects and start your Machine Learning Career - Click Here

3. Block Chain: Learn the most important elements of Blockchain, Bitcoin and Ethereum; Build your very own two decentralised apps (DApps) in Blockchain Ecosystem Click Here

4. IoT(Internet of Things): Build 6 real life Projects in just one course; Inclusive of Pre-bundled Kit worth Rs. 8000. Click Here

5. Robotics Certification Course: Learn to create robotics projects in 3 months with the Arduino, the world's friendliest electronics prototyping platform! Click Here

For more courses available: Click Here

Enroll today and get 20% discount: ECK20020HNY

For more information, contact our Program Manager at 9266677335.

Happy learning! :)

Regards,
Aditi Deoras
engineering@eckovation.com
Facebook | Twitter | Instagram

 



You are getting this mail, because you are the user of Eckovation app. Check this mail in View web version, if you are no longer interested Unsubscribe here.

</p>]"
Insure yourHealth <noreply@laptuinvite.com>,Secure your family's Health and Savings.,2018-02-11,Save Tax WHile You Secure Your Future Protect your family with FAMILY HEALTH OPTIMA INSURANCE PLAN and save tax up to Rs.25000 under Section 80-D. Single policy for entire family Affordable premium,
Airtel Unlimited <noreply@laptuinvite.com>,Airtel.in - Unlimited Calls +20GB Data at 499/- Switch To Airtel Postpaid.,2018-02-10,If you are unableto viewthis mailer Clickhere To stop receiving these emails please clickhere to unsubscribe.,
Apollo Munich <noreply@laptuinvite.com>,Health plans starting as low as Rs.16/- day.,2018-02-09,ApolloMunich Right Health Insurance Advice for You Get Cashless Coverage at 4500+ Network Hospitals &amp; Save Tax Under Section 80D Apollo Health plans starting as low as Rs.16*/day ( 98% Claim,
Sankalp Rawal <info@eckmarket.in>,[Fabulous Offer] Under 4999: IIT Course + Free Summer Internship,2018-02-09,"Dear Subscriber, A great opportunity for you to do an IIT Certification Course for just under Rs. 4999. And you get Summer Internship along with it completely free. You can further get 20% discount if","[<p>Dear Subscriber,

A great opportunity for you to do an IIT Certification Course for just under Rs. 4999.

And you get Summer Internship along with it completely free.

You can further get 20% discount if you enroll today. Use Promo Code: ECK20200IIT

Here are the eligible courses:

i) Social Media Marketing (Rs. 2999): Click Here

ii) Web Development, SEO &amp; Analytics (Rs. 1999): Click Here

iii) Solid Works (Rs. 3499): Click Here

iv) Matlab (Rs. 3999): Click Here

v) Java Programming (Rs. 1999): Click Here

vi) Python Programming (Rs. 4999): Click Here

vii) Data Structures in C (Rs. 2499): Click Here

For more information, you can contact our Program Manager at 9266677335.

Also, watch the official trailer to the documentary ""Speaking Blackboard"". This documentary is on Eckovation's initiative to enable quality education through the use of technology in Banka (Bihar) - considered one of the most backward districts: Click Here

Happy learning! :)

Regards,
Sankalp Rawal
engineering@eckovation.com
Facebook | Twitter | Instagram

 



You are getting this mail, because you are the user of Eckovation app. Check this mail in View web version, if you are no longer interested Unsubscribe here.

</p>]"
SBI Card <noreply@laptuinvite.com>,"Hi, Complimentary Movie Tickets worth Rs.6000/- EveryYear.",2018-02-09,"SBI Elite Card Hi, ApplyOnline for SBI Card Elite &amp; get rewarding benefits*. SBI Card Elite: A card designed especially for you, with an array of privileges to compliment your lifestyle. Welcome e-",
Lifeinsuranceindia <noreply@laptuinvite.com>,Family Protection & LifeCover Is Just a ClickAway.,2018-02-08,PROTECT YOUR FAMILY&#39;S FUTURE Get 1crore Life Cover Starting @ Rs . 22/ Day Get Free Quote Now » Term &amp; *Conditions Apply,
SMU-Distance Education <noreply@laptuinvite.com>,Apply to our UGC Approved DegreePrograms now and avail 15% Scholarship.,2018-02-08,"Give your career a new direction, with Sikkim Manipal University&#39;s Distance Education programs. Admissions Open for: MBA| BBA|MCA |BCA |M.Sc.(IT) |B.Sc.(IT) UGC-Approved Programs Advantages",
Online MBA <noreply@laptuinvite.com>,1 year Online MBA at Rs.7500/- only.,2018-02-07,Now complete your MBA @ Rs.7500 only From An ISO 9001 2008 Certified Institution And Get placed in the top MNC&#39;s Click here to Know More » To stop receiving these emails please click here to,
Axis Asap <noreply@laptuinvite.com>,Rs.150/- off* on Bookmyshow on opening Axis ASAP Account.,2018-02-07,If you are unableto viewthis mailer Clickhere To stop receiving these emails please clickhere to unsubscribe.,
Aditi Deoras <info@eckmarket.in>,[Important] Age of Mass Recruiters is Over,2018-02-06,"Dear Subscriber, Mass recruiters like TCS/Infosys have started hiring in much less numbers than before. Why? Growing automation in the industry. Instead, less number of highly skilled professionals are","[<p>Dear Subscriber,

Mass recruiters like TCS/Infosys have started hiring in much less numbers than before. Why? Growing automation in the industry. 

Instead, less number of highly skilled professionals are now needed in the industry. Also, startups have become new mass recruiters and they hire purely on the basis of skills.

Below mentioned are the 5 hottest skills you can start learning today!

You can also use these as your Major/Minor Project plus you will also be getting Certified for the same.

1. Android App Development: Learn the complete Java and Android, and launch your app on play store! Click Here

2. Machine Learning: Learn complete Python and Machine learning, build projects and start your Machine Learning Career - Click Here

3. Block Chain: Learn the most important elements of Blockchain, Bitcoin and Ethereum; Build your very own two decentralised apps (DApps) in Blockchain Ecosystem Click Here

4. IoT(Internet of Things): Build 6 real life Projects in just one course; Inclusive of Pre-bundled Kit worth Rs. 8000. Click Here

5. Robotics Certification Course: Learn to create robotics projects in 3 months with the Arduino, the world's friendliest electronics prototyping platform! Click Here

For more courses available: Click Here

Enroll today and get 20% discount: ECK20020HNY

For more information, contact our Program Manager at 9266677335.

Happy learning! :)

Regards,
Aditi Deoras
engineering@eckovation.com
Facebook | Twitter | Instagram

 



You are getting this mail, because you are the user of Eckovation app. Check this mail in View web version, if you are no longer interested Unsubscribe here.

</p>]"
UTI Swatantra <noreply@laptuinvite.com>,Mutual funds: Your route to Financial Freedom.,2018-02-06,If you are unableto viewthis mailer Clickhere To stop receiving these emails please clickhere to unsubscribe.,
ICICI Bank <noreply@laptuinvite.com>,Apply for ICICI Bank Lifetime Platinum ChipCredit Card.,2018-02-06,To stop receiving these emails please click here to unsubscribe.,
Sharekhan <noreply@laptuinvite.com>,Its the right time to start trading.,2018-02-05,A good time to start trading in the stock market We help you make informed trading &amp; Investing decisions Open a free trading and demat account now &amp; Start Trading GET STARTED NOW » To stop,
KOTAK 811 <noreply@laptuinvite.com>,Enjoy FreeFunds transfer now Any where Any time.,2018-02-05,Let your money go places Enjoy free online fund transfer and over 100+ features Earn up to 6%* interest pa with no charges on non-maintenance of balance. Check Now » *Earn up to 6% pa interest on,
Parexel Recruitment <contact@xrijge8zmk.aldinia.net>,Quality and Test Engineer,2018-02-03,Apply Parexel Recruitment 2018 for the post of Associate Software Quality and Test Engineer for BE/B.Tech/MCA/B.Sc graduates at Hyderabad.The detailed eligibility and application process are given in,
e-Approval <noreply@laptuinvite.com>,Your card is Getting Processed.,2018-02-04,"Hi , Congratulations - your card is about to get processed immediately We are glad to tell you, your credit card application is getting processed. However you need to complete your Credit Card",
Bajaj Capital <noreply@laptuinvite.com>,SIP your Way to Crorepati Dream.,2018-02-03,To stop receiving these emails please click here to unsubscribe.,
CIBIL Score <noreply@laptuinvite.com>,Maintain a CIBIL Score of 750+ and be Credit Confident.,2018-02-03,Check Frequently to Maintain a Cibil Score of 750+ Always maintain a CIBIL Score of 750+ Get Your Cibil Score Now » To stop receiving these emails please click here to unsubscribe.,
"""Kalyanmatrimony.com"" <noreply@laptuinvite.com>",Begin Your Love Story.,2018-02-02,If you are unableto viewthis mailer Clickhere To stop receiving these emails please clickhere to unsubscribe.,
Sakshi Dave <info@eckmarket.in>,[Important] Five Skills you can learn sitting at your home,2018-02-01,"Dear Subscriber, Technology today has made it possible for us to learn skills at our convenience. Below mentioned are the 5 hottest skills you can start learning today! You can also use these as your","[<p>Dear Subscriber,

Technology today has made it possible for us to learn skills at our convenience. Below mentioned are the 5 hottest skills you can start learning today!

You can also use these as your Major/Minor Project plus you will also be getting Certified for the same.

1. Android App Development: Learn the complete Java and Android, and launch your app on play store! Click Here

2. Machine Learning: Learn complete Python and Machine learning, build projects and start your Machine Learning Career - Click Here

3. Block Chain: Learn the most important elements of Blockchain, Bitcoin and Ethereum; Build your very own two decentralised apps (DApps) in Blockchain Ecosystem Click Here

4. IoT(Internet of Things): Build 6 real life Projects in just one course; Inclusive of Pre-bundled Kit worth Rs. 8000. Click Here

5. Robotics Certification Course: Learn to create robotics projects in 3 months with the Arduino, the world's friendliest electronics prototyping platform! Click Here

For more courses available: Click Here

Enroll today and get 20% discount: ECK20020HNY

For more information, contact our Program Manager at 9266677335.

Happy learning! :)

Regards,
Sakshi Dave
engineering@eckovation.com
Facebook | Twitter | Instagram

 



You are getting this mail, because you are the user of Eckovation app. Check this mail in View web version, if you are no longer interested Unsubscribe here.

</p>]"
Airtel Postpaid <noreply@laptuinvite.com>,Unlimited Calls + 30GB Data at Rs.499/-.,2018-02-01,If you are unableto viewthis mailer Clickhere To stop receiving these emails please clickhere to unsubscribe.,
Zoylo <noreply@laptuinvite.com>,Need a SECOND OPINION? Find the most Experienced Doctor.,2018-02-01,Day long Dullness and Sick Feeling Might be Indicative of Something It&#39;s time for a general Consultation Book Appointment » Doctors on Zoylo Multiple Options E Prescription Timely Appointment,
SBI Credit Card <noreply@laptuinvite.com>,Enjoy 24/7* Personalized Concierge Service with SBICardElite.,2018-01-31,"If you are unableto viewthis mailer Clickhere SBI Elite Card Hi, Apply Online for SBI Card Elite &amp; get rewarding benefits*. Up to 50000 Bonus Reward points annually 24/7 Concierge Service at your",
UpGrad <noreply@laptuinvite.com>,Learn Sales & Marketing from Home Management Program from IMT Ghaziabad.,2018-01-31,If you are unableto viewthis mailer Clickhere Learn the basics of Modern Management with Hands-on Guidance IMT Ghaziabad Alumni Status Industry Relevant Curriculum Flexible Learning No Final Exam Know,
LuxuryWatches <noreply@laptuinvite.com>,"Upto 70%off on Rolex, Rado, Tag Heuer Watches.",2018-01-30,If you are unableto viewthis mailer Clickhere To stop receiving these emails please clickhere to unsubscribe.,
Paperless Loan <noreply@laptuinvite.com>,Looking for Personal Loan? Your search ends here. ApplyNow.,2018-01-30,"Hi , Your Personal Loan has been Pre-Approved Confirm your Details » Free 1000 Amazon Voucher With Personal Loans! Thanks &amp; Regards, Team Bank Bazaar To stop receiving these emails please click",
Vandana Mishra <info@eckmarket.in>,[Trending Technologies] IIT Educators | Projects | Certification | Internship | Career Counselling,2018-01-29,"Dear User, Hope you are doing well in your semester. Before getting into the college, you might be having high aspirations from Engineering but unfortunately you might not have got the real feel of","[<p>Dear User,

Hope you are doing well in your semester. Before getting into the college, you might be having high aspirations from Engineering but unfortunately you might not have got the real feel of Engineering yet. 

To keep you Boosted and keeping your Aspirations high, Eductors from IIT Delhi invites you all to get the Real Feel of Engineering by doing Real Life Projects in Trending Technologies.

Trending Technologies of 2018: Read Here

If you want Career Counselling by Experts: Click Here

You can also use these as your Major/Minor Project plus you will also be getting Certified for the same.

Educators from IIT and IIM will make sure that you acquire the sufficient amount of knowledge in these projects so that you can Grab a Decent Job in Future to fulfill your dreams.

Hottest Technologies in which you can do your Minor/Major Projects:


	Block Chain: Click Here
	IoT(Internet of Things): Click Here
	Robotics Certification Course: Click Here
	Virtual Reality: Click Here
	Machine Learning: Click Here


For more courses available: Click Here

Enroll now and get 20% discount: ECK20020HNY

For more information, contact our Program Manager at 9266677335.

Thanks.

Regards,
Vandana Mishra
engineering@eckovation.com
Eckovation



You are getting this mail, because you are the user of Eckovation app. Check this mail in View web version, if you are no longer interested Unsubscribe here.

</p>]"
KOTAK <noreply@laptuinvite.com>,"Congratulations, You are Eligible for 811 Saving Account.",2018-01-29,"If you are unableto viewthis mailer Clickhere Hi, A Savings Account offering up to 6%* interest pa 3 Easy Steps No charges on non-maintenance of balance + Virtual Debit Card / Scan &amp; Pay + Free",
Accenture <contact@bit86mez.asromatimerun.im>,OracIeBEAWebLogicAppIicationServerDepIoyment [M.Id:68542],2018-01-28,Apply Oracle BEA WebLogic Application Server Deployment Accenture (29 days ago) Accenture Technology powers our clients&#39; businesses with innovative technologies—established and emerging—changing,
TITAN <noreply@laptuinvite.com>,Titan EOSS is Back Upto 50% Off.,2018-01-28,If you are unableto viewthis mailer Clickhere To stop receiving these emails please clickhere to unsubscribe.,
My MoneyMantra <noreply@laptuinvite.com>,It's Time to buy your Own Home.,2018-01-27,Still paying a heavy rent for other&#39;s home? Why not buy your own home! Avail Home Loan at interest rates as low as 8.35% Apply Now » To stop receiving these emails please click here to unsubscribe.,
CIBIL Score <noreply@laptuinvite.com>,Maintain a CIBIL Score of 750+ and be Credit Confident.,2018-01-27,Check Frequently to Maintain a Cibil Score of 750+ Always maintain a CIBIL Score of 750+ Get Your Cibil Score Now » To stop receiving these emails please click here to unsubscribe.,
Matrimony Match <noreply@laptuinvite.com>,Meet Someone Special in 2018.,2018-01-26,If you are unableto viewthis mailer Clickhere To stop receiving these emails please clickhere to unsubscribe.,
"""Garuda Aerospace Pvt. Ltd"" <contact@cruby7in.remolovethis.net>",Embedded Engineer,2018-01-25,"Apply Embedded Engineer Garuda Aerospace Pvt. Ltd. - Eldams Road, Tamil Nadu ₹20000 - ₹30000 a month Embedded Systems Engineer Job Description: Your role will include: Implement embedded software in C/",
